arrival_time,service_start_time,service_end_time,service_time,waiting_time ,inter-arrival_time
4:00:01 PM,4:00:01 PM,4:00:20 PM,0:00:19,0:00:00,0:00:00
4:00:02 PM,4:00:20 PM,4:01:11 PM,0:00:51,0:00:18,0:00:01
4:00:03 PM,4:01:11 PM,4:01:41 PM,0:00:30,0:01:08,0:00:01
4:01:02 PM,4:03:33 PM,4:04:15 PM,0:00:42,0:02:31,0:00:59
4:01:03 PM,4:04:25 PM,4:04:57 PM,0:00:32,0:03:22,0:00:01
4:03:02 PM,4:04:57 PM,4:05:33 PM,0:00:36,0:01:55,0:01:59
4:03:15 PM,4:05:33 PM,4:05:54 PM,0:00:21,0:02:18,0:00:13
4:03:20 PM,4:05:54 PM,4:06:20 PM,0:00:26,0:02:34,0:00:05
4:05:57 PM,4:06:20 PM,4:07:02 PM,0:00:42,0:00:23,0:02:37
4:08:44 PM,4:08:44 PM,4:09:06 PM,0:00:22,0:00:00,0:02:47
4:08:47 PM,4:09:06 PM,4:09:40 PM,0:00:34,0:00:19,0:00:03
4:10:40 PM,4:10:40 PM,4:10:55 PM,0:00:15,0:00:00,0:01:53
4:11:06 PM,4:11:06 PM,4:11:30 PM,0:00:24,0:00:00,0:00:26
4:11:07 PM,4:11:30 PM,4:12:16 PM,0:00:46,0:00:23,0:00:01
4:11:08 PM,4:12:16 PM,4:12:55 PM,0:00:39,0:01:08,0:00:01
4:11:45 PM,4:12:55 PM,4:13:36 PM,0:00:41,0:01:10,0:00:37
4:12:22 PM,4:13:36 PM,4:14:58 PM,0:01:22,0:01:14,0:00:37
4:12:23 PM,4:12:58 PM,4:13:57 PM,0:00:59,0:00:35,0:00:01
4:12:25 PM,4:13:57 PM,4:14:15 PM,0:00:18,0:01:32,0:00:02
4:15:08 PM,4:15:08 PM,4:15:43 PM,0:00:35,0:00:00,0:02:43
4:15:09 PM,4:15:43 PM,4:15:58 PM,0:00:15,0:00:34,0:00:01
